month,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3,age_cat_2,sex
0,.3809,3.2321999,.14171,2,2.4000001,2.8,3.2,3.7,4.1999998,4.8000002,0-5,0
0,.34869999,3.3464,.14602,2.0999999,2.5,2.9000001,3.3,3.9000001,4.4000001,5,0-5,1
1,.1714,4.1873002,.13723999,2.7,3.2,3.5999999,4.1999998,4.8000002,5.5,6.1999998,0-5,0
1,.2297,4.4709001,.13395,2.9000001,3.4000001,3.9000001,4.5,5.0999999,5.8000002,6.5999999,0-5,1
2,.096199997,5.1282001,.13,3.4000001,3.9000001,4.5,5.0999999,5.8000002,6.5999999,7.5,0-5,0
2,.197,5.5675001,.12385,3.8,4.3000002,4.9000001,5.5999999,6.3000002,7.0999999,8,0-5,1
3,.040199999,5.8457999,.12619001,4,4.5,5.1999998,5.8000002,6.5999999,7.5,8.5,0-5,0
3,.17380001,6.3762002,.11727,4.4000001,5,5.6999998,6.4000001,7.1999998,8,9,0-5,1
4,-.0049999999,6.4236999,.12402,4.4000001,5,5.6999998,6.4000001,7.3000002,8.1999998,9.3000002,0-5,0
4,.15530001,7.0022998,.11316,4.9000001,5.5999999,6.1999998,7,7.8000002,8.6999998,9.6999998,0-5,1
5,-.043000001,6.8985,.12274,4.8000002,5.4000001,6.0999999,6.9000001,7.8000002,8.8000002,10,0-5,0
5,.13950001,7.5105,.1108,5.3000002,6,6.6999998,7.5,8.3999996,9.3000002,10.4,0-5,1
6,.1257,7.934,.10958,5.6999998,6.4000001,7.0999999,7.9000001,8.8000002,9.8000002,10.9,0-5,1
6,-.075599998,7.2969999,.12204,5.0999999,5.6999998,6.5,7.3000002,8.1999998,9.3000002,10.6,0-5,0
7,-.1039,7.6422,.12178,5.3000002,6,6.8000002,7.5999999,8.6000004,9.8000002,11.1,0-5,0
7,.1134,8.2969999,.10902,5.9000001,6.6999998,7.4000001,8.3000002,9.1999998,10.3,11.4,0-5,1
8,-.1288,7.9487,.12181,5.5999999,6.3000002,7,7.9000001,9,10.2,11.6,0-5,0
8,.1021,8.6150999,.10882,6.1999998,6.9000001,7.6999998,8.6000004,9.6000004,10.7,11.9,0-5,1
9,.091700003,8.9013996,.10881,6.4000001,7.0999999,8,8.8999996,9.8999996,11,12.3,0-5,1
9,-.1507,8.2254,.12199,5.8000002,6.5,7.3000002,8.1999998,9.3000002,10.5,12,0-5,0
10,-.17,8.4799995,.12223,5.9000001,6.6999998,7.5,8.5,9.6000004,10.9,12.4,0-5,0
10,.082000002,9.1648998,.10891,6.5999999,7.4000001,8.1999998,9.1999998,10.2,11.4,12.7,0-5,1
11,.072999999,9.4122,.10906,6.8000002,7.5999999,8.3999996,9.3999996,10.5,11.7,13,0-5,1
