month,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3,age_cat_2,sex
11,-.18719999,8.7192001,.12247,6.0999999,6.9000001,7.6999998,8.6999998,9.8999996,11.2,12.8,0-5,0
12,-.2024,8.9481001,.12268,6.3000002,7,7.9000001,8.8999996,10.1,11.5,13.1,0-5,0
12,.064400002,9.6478996,.10925,6.9000001,7.6999998,8.6000004,9.6000004,10.8,12,13.3,0-5,1
13,-.2158,9.1698999,.12283,6.4000001,7.1999998,8.1000004,9.1999998,10.4,11.8,13.5,0-5,0
13,.056299999,9.8748999,.10949,7.0999999,7.9000001,8.8000002,9.8999996,11,12.3,13.7,0-5,1
14,.048700001,10.0953,.10976,7.1999998,8.1000004,9,10.1,11.3,12.6,14,0-5,1
14,-.2278,9.3870001,.12294,6.5999999,7.4000001,8.3000002,9.3999996,10.6,12.1,13.8,0-5,0
15,-.2384,9.6007996,.12299,6.6999998,7.5999999,8.5,9.6000004,10.9,12.4,14.1,0-5,0
15,.041299999,10.3108,.11007,7.4000001,8.3000002,9.1999998,10.3,11.5,12.8,14.3,0-5,1
16,-.24779999,9.8123999,.12303,6.9000001,7.6999998,8.6999998,9.8000002,11.1,12.6,14.5,0-5,0
16,.034299999,10.5228,.11041,7.5,8.3999996,9.3999996,10.5,11.7,13.1,14.6,0-5,1
17,-.25619999,10.0226,.12306,7,7.9000001,8.8999996,10,11.4,12.9,14.8,0-5,0
17,.0275,10.7319,.11079,7.6999998,8.6000004,9.6000004,10.7,12,13.4,14.9,0-5,1
18,.0211,10.9385,.11119,7.8000002,8.8000002,9.8000002,10.9,12.2,13.7,15.3,0-5,1
18,-.26370001,10.2315,.12309,7.1999998,8.1000004,9.1000004,10.2,11.6,13.2,15.1,0-5,0
19,.0148,11.143,.11164,8,8.8999996,10,11.1,12.5,13.9,15.6,0-5,1
19,-.2703,10.4393,.12315,7.3000002,8.1999998,9.1999998,10.4,11.8,13.5,15.4,0-5,0
20,-.2762,10.6464,.12323,7.5,8.3999996,9.3999996,10.6,12.1,13.7,15.7,0-5,0
20,.0087000001,11.3462,.11211,8.1000004,9.1000004,10.1,11.3,12.7,14.2,15.9,0-5,1
21,.0029,11.5486,.11261,8.1999998,9.1999998,10.3,11.5,12.9,14.5,16.200001,0-5,1
21,-.28150001,10.8534,.12335,7.5999999,8.6000004,9.6000004,10.9,12.3,14,16,0-5,0
22,-.28619999,11.0608,.1235,7.8000002,8.6999998,9.8000002,11.1,12.5,14.3,16.4,0-5,0
22,-.0027999999,11.7504,.11314,8.3999996,9.3999996,10.5,11.8,13.2,14.7,16.5,0-5,1
23,-.0082999999,11.9514,.11369,8.5,9.5,10.7,12,13.4,15,16.799999,0-5,1
23,-.29030001,11.2688,.12369,7.9000001,8.8999996,10,11.3,12.8,14.6,16.700001,0-5,0
24,-.0137,12.1515,.11426,8.6000004,9.6999998,10.8,12.2,13.6,15.3,17.1,0-5,1
24,-.29409999,11.4775,.1239,8.1000004,9,10.2,11.5,13,14.8,17,0-5,0
25,-.0189,12.3502,.11485,8.8000002,9.8000002,11,12.4,13.9,15.5,17.5,0-5,1
25,-.29750001,11.6864,.12414,8.1999998,9.1999998,10.3,11.7,13.3,15.1,17.299999,0-5,0
26,-.024,12.5466,.11544,8.8999996,10,11.2,12.5,14.1,15.8,17.799999,0-5,1
26,-.30050001,11.8947,.12441,8.3999996,9.3999996,10.5,11.9,13.5,15.4,17.700001,0-5,0
27,-.30320001,12.1015,.12472,8.5,9.5,10.7,12.1,13.7,15.7,18,0-5,0
27,-.028899999,12.7401,.11604,9,10.1,11.3,12.7,14.3,16.1,18.1,0-5,1
28,-.0337,12.9303,.11664,9.1000004,10.2,11.5,12.9,14.5,16.299999,18.4,0-5,1
28,-.3057,12.3059,.12506001,8.6000004,9.6999998,10.9,12.3,14,16,18.299999,0-5,0
29,-.0385,13.1169,.11723,9.1999998,10.4,11.7,13.1,14.8,16.6,18.700001,0-5,1
29,-.308,12.5073,.12545,8.8000002,9.8000002,11.1,12.5,14.2,16.200001,18.700001,0-5,0
30,-.31009999,12.7055,.12587,8.8999996,10,11.2,12.7,14.4,16.5,19,0-5,0
30,-.043099999,13.3,.11781,9.3999996,10.5,11.8,13.3,15,16.9,19,0-5,1
31,-.047600001,13.4798,.11839,9.5,10.7,12,13.5,15.2,17.1,19.299999,0-5,1
31,-.31200001,12.9006,.12633,9,10.1,11.4,12.9,14.7,16.799999,19.299999,0-5,0
32,-.31380001,13.093,.12683,9.1000004,10.3,11.6,13.1,14.9,17.1,19.6,0-5,0
32,-.052000001,13.6567,.11896,9.6000004,10.8,12.1,13.7,15.4,17.4,19.6,0-5,1
33,-.31549999,13.2837,.12737,9.3000002,10.4,11.7,13.3,15.1,17.299999,20,0-5,0
33,-.056400001,13.8309,.11953,9.6999998,10.9,12.3,13.8,15.6,17.6,19.9,0-5,1
34,-.060600001,14.0031,.12008,9.8000002,11,12.4,14,15.8,17.799999,20.200001,0-5,1
34,-.31709999,13.4731,.12794,9.3999996,10.5,11.9,13.5,15.4,17.6,20.299999,0-5,0
35,-.3186,13.6618,.12854999,9.5,10.7,12,13.7,15.6,17.9,20.6,0-5,0
35,-.064800002,14.1736,.12062,9.8999996,11.2,12.6,14.2,16,18.1,20.4,0-5,1
36,-.32010001,13.8503,.12919,9.6000004,10.8,12.2,13.9,15.8,18.1,20.9,0-5,0
36,-.068899997,14.3429,.12116,10,11.3,12.7,14.3,16.200001,18.299999,20.700001,0-5,1
37,-.072899997,14.5113,.12168,10.1,11.4,12.9,14.5,16.4,18.6,21,0-5,1
37,-.32159999,14.0385,.12988,9.6999998,10.9,12.4,14,16,18.4,21.299999,0-5,0
38,-.076899998,14.6791,.1222,10.2,11.5,13,14.7,16.6,18.799999,21.299999,0-5,1
38,-.32300001,14.2265,.13059001,9.8000002,11.1,12.5,14.2,16.299999,18.700001,21.6,0-5,0
39,-.080799997,14.8466,.12271,10.3,11.6,13.1,14.8,16.799999,19,21.6,0-5,1
39,-.32429999,14.414,.13135,9.8999996,11.2,12.7,14.4,16.5,19,22,0-5,0
40,-.32570001,14.601,.13213,10.1,11.3,12.8,14.6,16.700001,19.200001,22.299999,0-5,0
40,-.084600002,15.014,.12322,10.4,11.8,13.3,15,17,19.299999,21.9,0-5,1
41,-.32699999,14.7873,.13293,10.2,11.5,13,14.8,16.9,19.5,22.700001,0-5,0
41,-.088299997,15.1813,.12373,10.5,11.9,13.4,15.2,17.200001,19.5,22.1,0-5,1
42,-.092,15.3486,.12425,10.6,12,13.6,15.3,17.4,19.700001,22.4,0-5,1
42,-.3283,14.9727,.13376001,10.3,11.6,13.1,15,17.200001,19.799999,23,0-5,0
43,-.095700003,15.5158,.12478,10.7,12.1,13.7,15.5,17.6,20,22.700001,0-5,1
43,-.32960001,15.1573,.1346,10.4,11.7,13.3,15.2,17.4,20.1,23.4,0-5,0
44,-.099299997,15.6828,.12531,10.8,12.2,13.8,15.7,17.799999,20.200001,23,0-5,1
44,-.33090001,15.341,.13545001,10.5,11.8,13.4,15.3,17.6,20.4,23.700001,0-5,0
45,-.33219999,15.524,.1363,10.6,12,13.6,15.5,17.799999,20.700001,24.1,0-5,0
45,-.1028,15.8497,.12586001,10.9,12.4,14,15.8,18,20.5,23.299999,0-5,1
46,-.1063,16.0163,.12643,11,12.5,14.1,16,18.200001,20.700001,23.6,0-5,1
46,-.3335,15.7064,.13716,10.7,12.1,13.7,15.7,18.1,20.9,24.5,0-5,0
47,-.3348,15.8882,.138,10.8,12.2,13.9,15.9,18.299999,21.200001,24.799999,0-5,0
47,-.1097,16.182699,.127,11.1,12.6,14.3,16.200001,18.4,20.9,23.9,0-5,1
48,-.1131,16.3489,.12759,11.2,12.7,14.4,16.299999,18.6,21.200001,24.200001,0-5,1
48,-.33610001,16.0697,.13884,10.9,12.3,14,16.1,18.5,21.5,25.200001,0-5,0
49,-.33739999,16.251101,.13968,11,12.4,14.2,16.299999,18.799999,21.799999,25.5,0-5,0
49,-.1165,16.514999,.12819,11.3,12.8,14.5,16.5,18.799999,21.4,24.5,0-5,1
50,-.3387,16.432199,.14050999,11.1,12.6,14.3,16.4,19,22.1,25.9,0-5,0
50,-.1198,16.681101,.1288,11.4,12.9,14.7,16.700001,19,21.700001,24.799999,0-5,1
51,-.34,16.6133,.14132001,11.2,12.7,14.5,16.6,19.200001,22.4,26.299999,0-5,0
51,-.123,16.847099,.12943,11.5,13.1,14.8,16.799999,19.200001,21.9,25.1,0-5,1
52,-.3414,16.794201,.14213,11.3,12.8,14.6,16.799999,19.4,22.6,26.6,0-5,0
52,-.12620001,17.013201,.13005,11.6,13.2,15,17,19.4,22.200001,25.4,0-5,1
53,-.3427,16.9748,.14293,11.4,12.9,14.8,17,19.700001,22.9,27,0-5,0
53,-.1294,17.179199,.13068999,11.7,13.3,15.1,17.200001,19.6,22.4,25.700001,0-5,1
54,-.13249999,17.3452,.13133,11.8,13.4,15.2,17.299999,19.799999,22.700001,26,0-5,1
54,-.34400001,17.1551,.14371,11.5,13,14.9,17.200001,19.9,23.200001,27.4,0-5,0
55,-.1356,17.511101,.13197,11.9,13.5,15.4,17.5,20,22.9,26.299999,0-5,1
55,-.34529999,17.3347,.14448,11.6,13.2,15.1,17.299999,20.1,23.5,27.700001,0-5,0
56,-.3466,17.513599,.14524999,11.7,13.3,15.2,17.5,20.299999,23.799999,28.1,0-5,0
56,-.13869999,17.6768,.13260999,12,13.6,15.5,17.700001,20.200001,23.200001,26.6,0-5,1
57,-.1417,17.842199,.13325,12.1,13.7,15.6,17.799999,20.4,23.4,26.9,0-5,1
57,-.3479,17.691601,.146,11.8,13.4,15.3,17.700001,20.6,24.1,28.5,0-5,0
58,-.14470001,18.007299,.13389,12.2,13.8,15.8,18,20.6,23.700001,27.200001,0-5,1
58,-.34920001,17.868601,.14675,11.9,13.5,15.5,17.9,20.799999,24.4,28.799999,0-5,0
59,-.1477,18.172199,.13452999,12.3,14,15.9,18.200001,20.799999,23.9,27.6,0-5,1
59,-.35049999,18.0445,.14748,12,13.6,15.6,18,21,24.6,29.200001,0-5,0
60,-.1506,18.336599,.13517,12.4,14.1,16,18.299999,21,24.200001,27.9,0-5,1
60,-.35179999,18.219299,.14821,12.1,13.7,15.8,18.200001,21.200001,24.9,29.5,0-5,0
