year,mean,name
2000,.2218076810240746,4
2005,.208049513399601,4
2010,.1761955842375755,4
2015,.1534862369298935,4
2000,.2558753043413162,40765
2005,.2495330348610878,40765
2010,.2544515430927277,40765
2015,.2176123559474945,40765
2000,.2482890859246254,145
2005,.2251016944646835,145
2010,.1970876157283783,145
2015,.1975965425372124,145
2000,.2626617625355721,169
2005,.230957917869091,169
2010,.207556314766407,169
2015,.1865092366933823,169
2000,.1312666162848473,248
2005,.0922702252864838,248
2010,.083961833268404,248
2015,.0764719322323799,248
2000,.569378450512886,269
2005,.5656210780143738,269
2010,.5003292858600616,269
2015,.4677883088588715,269
2000,.500268816947937,8
2005,.3956683278083801,8
2010,.3056224137544632,8
2015,.2630636543035507,8
2000,.4454057514667511,49
2005,.4309106916189194,49
2010,.3945372104644775,49
2015,.3775488436222076,49
2000,.3396774679422379,59
2005,.3010207861661911,59
2010,.2618473544716835,59
2015,.2357522025704384,59
2000,.4827947616577148,68
2005,.4745069891214371,68
2010,.4370248913764954,68
2015,.394430473446846,68
2000,.4018527269363403,76
2005,.2748496830463409,76
2010,.2017288878560066,76
2015,.1778848096728325,76
2000,.2605602890253067,89
2005,.2331614792346954,89
2010,.2015964239835739,89
2015,.1759639605879784,89
2000,.594345360994339,43
2005,.5800996124744415,43
2010,.5754604041576385,43
2015,.5453609824180603,43
2000,.3011656105518341,70
2005,.3264824151992798,70
2010,.3139741867780685,70
2015,.2729119583964348,70
2000,.4386154264211655,77
2005,.4344460666179657,77
2010,.4379748106002808,77
2015,.4258664846420288,77
2000,.5721349567174911,79
2005,.5183782875537872,79
2010,.4535669535398483,79
2015,.407330796122551,79
2000,.3901052176952362,133
2005,.3900614827871323,133
2010,.3268363922834396,133
2015,.2576415911316872,133
2000,.5519058704376221,150
2005,.5204773992300034,150
2010,.4917316138744354,150
2015,.4627774804830551,150
2000,.5573835074901581,152
2005,.5352004766464233,152
2010,.4700857698917389,152
2015,.4225259721279144,152
2000,.4954079985618591,170
2005,.4616438448429108,170
2010,.4310603737831116,170
2015,.386873185634613,170
2000,.4912813156843185,205
2005,.4985267072916031,205
2010,.4416393935680389,205
2015,.382255420088768,205
2000,.3150092661380768,226
2005,.4054933041334152,226
2010,.4166841208934784,226
2015,.3873956501483917,226
2000,.4835216999053955,257
2005,.4410797953605652,257
2010,.4195213466882706,257
2015,.3802721202373505,257
2000,.4498745203018188,253
2005,.394180491566658,253
2010,.3384288996458054,253
2015,.3104072958230972,253
2000,.546973317861557,270
2005,.5244594812393188,270
2010,.4775975495576859,270
2015,.4079703986644745,270
2000,.3147527128458023,35
2005,.2993353605270386,35
2010,.269769623875618,35
2015,.2318822368979454,35
2000,.5139251202344894,142
2005,.4491753727197647,142
2010,.3824391216039658,142
2015,.3350370228290558,142
2000,.3112428039312363,172
2005,.2910681217908859,172
2010,.2591406777501106,172
2015,.231580063700676,172
2000,.2999735474586487,227
2005,.2811314165592194,227
2010,.2373661696910858,227
2015,.2093579173088074,227
2000,.3737629652023315,235
2005,.3431992679834366,235
2010,.3108000904321671,235
2015,.2819459438323975,235
2000,.3364591151475906,271
2005,.3552689403295517,271
2010,.3319122940301895,271
2015,.2798740044236183,271
2000,.421735018491745,29
2005,.4504551440477371,29
2010,.4754151999950409,29
2015,.4449544548988342,29
2000,.4541406184434891,42
2005,.4221986681222916,42
2010,.3597664386034012,42
2015,.3223671615123749,42
2000,.3784043937921524,45
2005,.3664015084505081,45
2010,.3353089243173599,45
2015,.2922449856996536,45
2000,.4306023120880127,50
2005,.418172761797905,50
2010,.3856027871370316,50
2015,.3604093343019485,50
2000,.3488380163908005,66
2005,.3581996709108353,66
2010,.3312464356422424,66
2015,.305084154009819,66
2000,.2788904160261154,90
2005,.2686527818441391,90
2010,.2485663890838623,90
2015,.2223817184567451,90
2000,.3441966772079468,94
2005,.311909943819046,94
2010,.2439200133085251,94
2015,.18787931650877,94
2000,.3900027126073837,106
2005,.3920756429433823,106
2010,.3551204204559326,106
2015,.3210592418909073,106
2000,.3873152732849121,105
2005,.389752209186554,105
2010,.3394550681114197,105
2015,.3194203674793243,105
2000,.4305998235940933,144
2005,.4011179506778717,144
2010,.3638864457607269,144
2015,.3171003460884094,144
2000,.4212066382169724,155
2005,.4023033380508423,155
2010,.3777571022510529,155
2015,.3512421548366547,155
2000,.3996285796165466,159
2005,.3093331605195999,159
2010,.2528408691287041,159
2015,.2324342802166939,159
2000,.5267656445503235,181
2005,.510721743106842,181
2010,.4633320719003677,181
2015,.4397538751363754,181
2000,.4888057559728622,182
2005,.4456928372383118,182
2010,.3787700235843658,182
2015,.325408473610878,182
2000,.2876458317041397,217
2005,.2480210214853287,217
2010,.2299068346619606,217
2015,.2027173861861229,217
2000,.428544744849205,221
2005,.4487225860357285,221
2010,.4233077764511108,221
2015,.3746551126241684,221
2000,.3407985866069794,243
2005,.3081805258989334,243
2010,.2720368430018425,243
2015,.2509996145963669,243
2000,.4750839024782181,74
2005,.3841020464897156,74
2010,.3106088787317276,74
2015,.3176236599683762,74
2000,.4568167328834534,6
2005,.3978640288114548,6
2010,.3507527858018875,6
2015,.3465384840965271,6
