week,l,m,s,sd,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3,sex
0,1,49.884201,.037950002,1.8931,44.200001,46.099998,48,49.900002,51.799999,53.700001,55.599998,1
0,1,49.147701,.037900001,1.8627,43.599998,45.400002,47.299999,49.099998,51,52.900002,54.700001,0
1,1,51.1152,.03723,1.903,45.400002,47.299999,49.200001,51.099998,53,54.900002,56.799999,1
1,1,50.3298,.037420001,1.8832999,44.700001,46.599998,48.400002,50.299999,52.200001,54.099998,56,0
2,1,52.3461,.036520001,1.9117,46.599998,48.5,50.400002,52.299999,54.299999,56.200001,58.099998,1
2,1,51.512001,.036940001,1.9029,45.799999,47.700001,49.599998,51.5,53.400002,55.299999,57.200001,0
3,1,52.469501,.03669,1.9251,46.700001,48.599998,50.5,52.5,54.400002,56.299999,58.200001,0
3,1,53.390499,.036090001,1.9269,47.599998,49.5,51.5,53.400002,55.299999,57.200001,59.200001,1
4,1,53.380901,.03647,1.9468,47.5,49.5,51.400002,53.400002,55.299999,57.299999,59.200001,0
4,1,54.3881,.035700001,1.9417,48.599998,50.5,52.400002,54.400002,56.299999,58.299999,60.200001,1
5,1,55.337399,.03534,1.9556,49.5,51.400002,53.400002,55.299999,57.299999,59.200001,61.200001,1
5,1,54.245399,.03627,1.9675,48.299999,50.299999,52.299999,54.200001,56.200001,58.200001,60.099998,0
6,1,56.235699,.035009999,1.9687999,50.299999,52.299999,54.299999,56.200001,58.200001,60.200001,62.099998,1
6,1,55.064201,.036090001,1.9873,49.099998,51.099998,53.099998,55.099998,57.099998,59,61,0
7,1,57.085098,.034699999,1.9809,51.099998,53.099998,55.099998,57.099998,59.099998,61,63,1
7,1,55.840599,.03593,2.0064001,49.799999,51.799999,53.799999,55.799999,57.799999,59.900002,61.900002,0
8,1,56.576698,.035780001,2.0243001,50.5,52.5,54.599998,56.599998,58.599998,60.599998,62.599998,0
8,1,57.888901,.034419999,1.9924999,51.900002,53.900002,55.900002,57.900002,59.900002,61.900002,63.900002,1
9,1,57.2761,.035640001,2.0413001,51.200001,53.200001,55.200001,57.299999,59.299999,61.400002,63.400002,0
9,1,58.653599,.034159999,2.0035999,52.599998,54.599998,56.599998,58.700001,60.700001,62.700001,64.699997,1
10,1,57.9436,.035519999,2.0581999,51.799999,53.799999,55.900002,57.900002,60,62.099998,64.099998,0
10,1,59.387199,.033920001,2.0144,53.299999,55.400002,57.400002,59.400002,61.400002,63.400002,65.400002,1
11,1,58.5816,.035399999,2.0738001,52.400002,54.400002,56.5,58.599998,60.700001,62.700001,64.800003,0
11,1,60.089401,.033690002,2.0244,54,56,58.099998,60.099998,62.099998,64.099998,66.199997,1
12,1,59.1922,.035300002,2.0895,52.900002,55,57.099998,59.200001,61.299999,63.400002,65.5,0
12,1,60.760502,.03348,2.0343001,54.700001,56.700001,58.700001,60.799999,62.799999,64.800003,66.900002,1
13,1,59.777302,.0352,2.1041999,53.5,55.599998,57.700001,59.799999,61.900002,64,66.099998,0
13,1,61.401299,.033289999,2.0439999,55.299999,57.299999,59.400002,61.400002,63.400002,65.5,67.5,1
