covariate,measure,include,gbd
access2,mean,TRUE,FALSE
depratio,youngage,TRUE,FALSE
distriverslakes,mean,TRUE,FALSE
dmspntl,mean,TRUE,FALSE
elevation,mean,TRUE,FALSE
fertility,mean,TRUE,FALSE
ghslurbanicity,mean,TRUE,FALSE
herreronyield,vita,TRUE,FALSE
irrigation,mean,TRUE,FALSE
landcover,proportionalclass13,TRUE,FALSE
aridity,mean,TRUE,FALSE
worldpop_raked,a0004t,TRUE,FALSE
stunting_mod_b,mean,TRUE,FALSE
wasting_mod_b,mean,TRUE,FALSE
dpt3_cov,mean,TRUE,FALSE
water_prop,mean,TRUE,TRUE
sanitation_prop,mean,TRUE,TRUE
haqi,mean,TRUE,TRUE
