"","iso3","ADM0_NAME","ADM0_CODE","dia_reg","lri_reg"
"51","MEX","Mexico",143,"dia_mcaca","dia_mcaca"
"52","MLI","Mali",146,"dia_wssa","dia_wssa"
"53","MMR","Myanmar",148,"dia_se_asia","dia_se_asia"
"54","MNG","Mongolia",150,"dia_chn_mng","MNG"
"55","MOZ","Mozambique",152,"dia_essa","dia_essa"
"56","MRT","Mauritania",153,"dia_wssa","dia_wssa"
"57","MWI","Malawi",157,"dia_essa","dia_essa"
"58","NAM","Namibia",160,"dia_sssa","dia_sssa"
"59","NER","Niger",162,"dia_wssa","dia_wssa"
"60","NGA","Nigeria",164,"dia_wssa","dia_wssa"
"61","NIC","Nicaragua",165,"dia_mcaca","dia_mcaca"
"62","NPL","Nepal",169,"dia_south_asia","dia_south_asia-IND"
"63","PAK","Pakistan",173,"dia_south_asia","dia_south_asia-IND"
"64","PAN","Panama",174,"dia_mcaca","dia_mcaca"
"65","PER","Peru",176,"dia_s_america","dia_s_america"
"66","PHL","Philippines",177,"dia_malay","dia_malay"
"67","PNG","Papua New Guinea",179,"dia_malay","dia_malay"
"68","PRY","Paraguay",184,"dia_s_america","dia_s_america"
"69","PSE","Palestine",185,"dia_NA","dia_mid_east"
"70","RWA","Rwanda",191,"dia_essa","dia_essa"
"71","SDN","Sudan",193,"dia_afr_horn","dia_afr_horn"
"72","SEN","Senegal",194,"dia_wssa","dia_wssa"
"73","SLE","Sierra Leone",200,"dia_wssa","dia_wssa"
"74","SLV","El Salvador",201,"dia_mcaca","dia_mcaca"
"75","SOM","Somalia",203,"dia_afr_horn","dia_afr_horn"
"76","SSD","South Sudan",206,"dia_afr_horn","dia_afr_horn"
"77","STP","Sao Tome and Principe",207,"dia_cssa","dia_cssa"
"78","SUR","Suriname",208,"dia_s_america","dia_s_america"
"79","SWZ","Swaziland",212,"dia_essa","dia_essa"
"80","SYR","Syria",215,"dia_mid_east","dia_mid_east"
"81","TCD","Chad",217,"dia_wssa","dia_wssa"
"82","TGO","Togo",218,"dia_wssa","dia_wssa"
"83","THA","Thailand",219,"dia_se_asia","dia_se_asia"
"84","TJK","Tajikistan",220,"dia_central_asia","dia_central_asia"
"85","TKM","Turkmenistan",222,"dia_central_asia","dia_central_asia"
"86","TLS","Timor-Leste",223,"dia_malay","dia_malay"
"87","TTO","Trinidad and Tobago",225,"dia_NA","dia_s_america"
"88","TUN","Tunisia",226,"dia_name","dia_name"
"89","TZA","Tanzania",230,"dia_essa","dia_essa"
"90","UGA","Uganda",231,"dia_essa","dia_essa"
"91","UZB","Uzbekistan",236,"dia_central_asia","dia_central_asia"
"92","VNM","Vietnam",242,"dia_se_asia","dia_se_asia"
"93","YEM","Yemen",253,"dia_afr_horn","dia_afr_horn"
"94","ZAF","South Africa",254,"dia_sssa","dia_sssa"
"95","ZMB","Zambia",255,"dia_essa","dia_essa"
"96","ZWE","Zimbabwe",256,"dia_essa","dia_essa"
