"","iso3","ADM0_NAME","ADM0_CODE","dia_reg","lri_reg"
"1","AFG","Afghanistan",2,"dia_mid_east","dia_mid_east"
"2","AGO","Angola",3,"dia_cssa","dia_cssa"
"3","BDI","Burundi",18,"dia_essa","dia_essa"
"4","BEN","Benin",20,"dia_wssa","dia_wssa"
"5","BFA","Burkina Faso",22,"dia_wssa","dia_wssa"
"6","BGD","Bangladesh",23,"dia_south_asia","dia_south_asia-IND"
"7","BLZ","Belize",30,"dia_mcaca","dia_mcaca"
"8","BOL","Bolivia",32,"dia_s_america","dia_s_america"
"9","BTN","Bhutan",36,"dia_south_asia","dia_south_asia-IND"
"10","BWA","Botswana",38,"dia_sssa","dia_sssa"
"11","CAF","Central African Republic",39,"dia_cssa","dia_cssa"
"12","CIV","Cote d'Ivoire",45,"dia_wssa","dia_wssa"
"13","CMR","Cameroon",46,"dia_wssa","dia_wssa"
"14","COD","Democratic Republic of the Congo",47,"dia_cssa","dia_cssa"
"15","COG","Republic of the Congo",48,"dia_cssa","dia_cssa"
"16","COL","Colombia",50,"dia_s_america","dia_s_america"
"17","COM","Comoros",51,"dia_essa","dia_essa"
"18","CRI","Costa Rica",53,"dia_mcaca","dia_mcaca"
"19","CUB","Cuba",54,"dia_NA","dia_mcaca-MEX"
"20","DJI","Djibouti",61,"dia_afr_horn","dia_afr_horn"
"21","DOM","Dominican Republic",64,"dia_mcaca","dia_mcaca"
"22","DZA","Algeria",65,"dia_name","dia_name"
"23","EGY","Egypt",67,"dia_name","dia_name"
"24","ERI","Eritrea",68,"dia_afr_horn","dia_afr_horn"
"25","ETH","Ethiopia",72,"dia_afr_horn","dia_afr_horn"
"26","GAB","Gabon",79,"dia_cssa","dia_cssa"
"27","GHA","Ghana",83,"dia_wssa","dia_wssa"
"28","GIN","Guinea",85,"dia_wssa","dia_wssa"
"29","GMB","The Gambia",87,"dia_wssa","dia_wssa"
"30","GNB","Guinea-Bissau",88,"dia_wssa","dia_wssa"
"31","GNQ","Equatorial Guinea",89,"dia_cssa","dia_cssa"
"32","GTM","Guatemala",93,"dia_mcaca","dia_mcaca"
"33","GUY","Guyana",96,"dia_s_america","dia_s_america"
"34","HND","Honduras",99,"dia_mcaca","dia_mcaca"
"35","HTI","Haiti",101,"dia_mcaca","dia_mcaca"
"36","IDN","Indonesia",103,"dia_malay","dia_malay"
"37","IND","India",105,"dia_south_asia","IND"
"38","IRN","Iran",108,"dia_mid_east","dia_mid_east"
"39","IRQ","Iraq",109,"dia_mid_east","dia_mid_east"
"40","JAM","Jamaica",113,"dia_mcaca","dia_mcaca"
"41","JOR","Jordan",115,"dia_mid_east","dia_mid_east"
"42","KEN","Kenya",118,"dia_essa","dia_essa"
"43","KGZ","Kyrgyzstan",119,"dia_central_asia","dia_central_asia"
"44","KHM","Cambodia",120,"dia_se_asia","dia_se_asia"
"45","LAO","Laos",125,"dia_se_asia","dia_se_asia"
"46","LBR","Liberia",127,"dia_wssa","dia_wssa"
"47","LKA","Sri Lanka",131,"dia_south_asia","dia_south_asia-IND"
"48","LSO","Lesotho",132,"dia_essa","dia_essa"
"49","MAR","Morocco",138,"dia_name","dia_name"
"50","MDG","Madagascar",141,"dia_essa","dia_essa"
