covariate,measure,gbd,include,release
access2,mean,F,T,
crutsdtr,mean,F,T,
crutsfrs,sum,F,T,
crutspet,mean,F,T,
distriverslakes,mean,F,T,
crutswet,sum,F,T,
elevation,mean,F,T,
evi_v6,mean_mean,F,T,
ghslurbanicity,mean,F,T,
irrigation,mean,F,T,
nexndvi,mean,F,T,
mswep,sum,F,T,
tcb_v6,mean_mean,F,T,
tcw_v6,mean_mean,F,T,
lst_diurnal_diff_v6,mean_mean,T,T,
anc4_coverage_prop,mean,T,T,
mx_warterror_10years,mean,T,T,
ldi_pc,mean,T,T,
bias_corr_vacc_mcv1,mean,F,T,
worldpop_raked,total,F,T,2019_11_25
edu_mean_stage2pl,mean,F,T,
