"","covariate","measure","gbd","include"
"1","access2","mean","F","T"
"2","dmspntlcalib","mean","F","T"
"3","edu_mean_stage2","mean","F","T"
"4","fertility","mean","F","T"
"5","herreronyield","vita","F","T"
"6","hiv_test","mean","F","T"
"7","landcover","proportionalclass13","F","T"
"8","worldpop_raked","total","F","T"
"9","year_cov","median","F","T"
