"","covariate","measure","gbd","include"
"1","access2","mean","F","T"
"2","edu_mean_stage2","mean","F","T"
"3","fertility","mean","F","T"
"4","hdi","mean","F","T"
"5","herreronyield","vita","F","T"
"6","landcover","proportionalclass13","F","T"
"7","worldpop_raked","total","F","T"
"8","year_cov","median","F","T"
