"","covariate","measure","gbd","include"
"1","access2","mean","F","T"
"2","anc4_coverage_prop","mean","T","T"
"3","edu_mean_stage2","mean","F","T"
"4","fertility","mean","F","T"
"5","herreronyield","vita","F","T"
"6","landcover","proportionalclass13","F","T"
"7","worldpop_raked","total","F","T"
