indi,region,gbm_tc,gbm_nminobs,gbm_ntrees,gbm_lr,gbm_bf,gbm_cv,date_added
any_ors,MLI,4,10,129,0.06546241,0.5,3,20190927
any_ors,SEN,4,12,1189,0.008270939,0.5,3,20190917
any_ors,SLE,4,9,893,0.005989209,0.5,3,20190917
no_ort,MLI,4,11,335,0.038937824,0.5,3,20190927
no_ort,SEN,4,12,400,0.020301563,0.5,3,20190917
no_ort,SLE,4,9,577,0.132657635,0.5,3,20190917
rhf_only,MLI,4,11,395,0.020537242,0.5,3,20190927
rhf_only,SEN,4,12,747,0.010717045,0.5,3,20190917
rhf_only,SLE,4,9,2876,0.061242182,0.5,3,20190917
