covariate,measure,include,gbd
access2,mean,TRUE,FALSE
depratio,youngage,TRUE,FALSE
distriverslakes,mean,TRUE,FALSE
dmspntl,mean,TRUE,FALSE
elevation,mean,TRUE,FALSE
fertility,mean,TRUE,FALSE
ghslurbanicity,mean,TRUE,FALSE
herreronyield,vita,TRUE,FALSE
irrigation,mean,TRUE,FALSE
landcover,proportionalclass13,TRUE,FALSE
aridity,mean,TRUE,FALSE
worldpop_raked,a0004t,TRUE,FALSE
edu_mean_stage2,mean,TRUE,FALSE
stunting_mod_b,mean,TRUE,FALSE
wasting_mod_b,mean,TRUE,FALSE
haqi,mean,TRUE,TRUE
ANC4_coverage_prop,mean,TRUE,TRUE
